date, pm25, pm10, o3, no2, so2, co
2022/10/29, 21, , , 18, 1, 5
2022/10/30, 38, , , 11, 1, 2
2022/10/31, 19, , , 10, , 3
2022/11/1, 15, , , 5, , 3
2022/11/2, 13, , , 2, , 2
2022/11/3, 18, , , 25, , 3
2022/11/4, 33, , , 33, 1, 4
2022/11/5, 44, , , 10, 1, 2
2022/11/6, 40, , , 3, , 1
2022/11/7, 17, , , 5, , 1
2022/11/8, 2, , , 17, 1, 2
2022/11/9, 8, , , 28, , 3
2022/11/10, 57, , , 36, 1, 6
2022/11/11, 52, , , 22, 3, 3
2022/11/12, 46, , , 20, 1, 3
2022/11/13, 31, , , 20, 1, 3
2022/11/14, 29, , , 18, 1, 4
2022/11/15, 23, , , 17, 1, 3
2022/11/16, 21, , , 10, 1, 2
2022/11/17, 22, , , 15, 1, 2
2022/11/18, 17, , , 22, 1, 3
2022/11/19, 15, , , 22, 1, 3
2022/11/20, 25, , , 23, 1, 6
2022/11/21, 37, , , 27, 1, 4
2022/11/22, 29, , , 36, 1, 6
2022/11/23, 34, , , 17, , 5
2022/11/24, 10, , , 28, 1, 7
2022/11/25, 28, , , 10, , 4
2022/11/26, 6, , , 20, , 5
2022/11/27, 10, , , 5, , 4
2022/11/28, 2, , , 2, 1, 4
2022/11/29, 11, , , 6, 1, 4
2022/11/30, 10, , , 8, , 5
2022/12/1, 25, , , 14, , 5
2022/12/2, 20, , , 24, 41, 7
2022/12/3, 52, , , 26, 1, 7
2022/12/4, 41, , , 12, 1, 5
2022/12/5, 10, , , 10, , 5
2022/12/6, 18, , , 10, , 3
2022/12/7, 17, , , 22, , 2
2022/12/8, 30, , , 43, 1, 7
2022/12/9, 53, , , 35, , 7
2022/12/10, 46, , , 31, 1, 6
2022/12/11, 41, , , 9, , 2
2022/12/12, 60, , , 23, , 5
2022/12/13, 89, , , 28, , 5
2022/12/14, 48, , , 14, , 3
2022/12/15, 21, , , 21, 1, 3
2022/12/16, 23, , , 24, 4, 3
2022/12/17, 31, , , 4, , 2
2022/12/18, 15, , , 4, 1, 2
2022/12/19, 20, , , 7, 1, 2
2022/12/20, 18, , , 24, 1, 3
2022/12/21, 41, , , 7, 1, 2
2022/12/22, 23, , , 26, 1, 4
2022/12/23, 28, , , 23, , 3
2022/12/24, 28, , , 39, 1, 8
2022/12/25, 73, , , 23, 1, 6
2022/12/26, 43, , , 38, 1, 7
2022/12/27, 47, , , 16, , 4
2022/12/28, 28, , , 16, , 5
2022/12/29, 64, , , 28, , 8
2022/12/30, 76, , , 46, , 11
2022/12/31, 61, , , 35, 1, 9
2023/1/1, 44, , , 32, , 9
2023/1/2, 53, , , 31, 1, 7
2022/7/2, 49, , , 2, , 1
2022/7/3, 36, , , 2, , 1
2022/7/4, 22, , , 5, , 1
2022/7/5, 27, , , 4, , 
2022/7/6, 8, , , 6, , 1
2022/7/7, 33, , , 6, , 
2022/7/8, 22, , , 8, , 1
2022/7/9, 21, , , 5, 1, 
2022/7/10, 17, , , 4, 1, 
2022/7/11, 11, , , 6, 1, 
2022/7/12, 18, , , 11, 1, 
2022/7/13, 29, , , 5, , 
2022/7/14, 17, , , 6, , 
2022/7/15, 30, , , 8, 4, 
2022/7/16, 32, , , 8, 1, 1
2022/7/17, 43, , , 2, , 
2022/7/18, 25, , , 7, , 
2022/7/19, 24, , , 6, 1, 
2022/7/20, 22, , , 6, 1, 
2022/7/21, 12, , , 7, 1, 
2022/7/22, 32, , , 6, , 1
2022/7/23, 29, , , 5, , 1
2022/7/24, 28, , , 4, 1, 1
2022/7/25, 39, , , 3, , 
2022/7/26, 33, , , 6, , 
2022/7/27, 28, , , 7, 1, 1
2022/7/28, 36, , , 6, , 1
2022/7/29, 35, , , 6, 1, 
2022/7/30, 44, , , 4, 1, 
2022/7/31, 32, , , 7, , 1
2022/8/1, 42, , , 2, , 
2022/8/2, 51, , , 4, 1, 
2022/8/3, 6, , , 8, , 
2022/8/4, 40, , , 5, , 
2022/8/5, 35, , , 3, , 
2022/8/6, 7, , , 5, , 
2022/8/7, 22, , , 4, 1, 
2022/8/8, 16, , , 7, , 
2022/8/9, 35, , , 4, , 
2022/8/10, 39, , , 10, 1, 
2022/8/11, 50, , , 8, , 1
2022/8/12, 45, , , 7, 1, 1
2022/8/13, 105, , , 7, 1, 1
2022/8/14, 374, , , 6, 3, 1
2022/8/15, 17, , , 6, 1, 1
2022/8/16, 35, , , 10, 2, 1
2022/8/17, 51, , , 4, 1, 1
2022/8/18, 27, , , 8, , 1
2022/8/19, 48, , , 8, , 1
2022/8/20, 50, , , 7, 1, 1
2022/8/21, 57, , , 3, , 1
2022/8/22, 41, , , 8, , 1
2022/8/23, 57, , , 8, , 1
2022/8/24, 34, , , 7, , 1
2022/8/25, 45, , , 8, 1, 1
2022/8/26, 49, , , 8, 2, 1
2022/8/27, 41, , , 6, 2, 
2022/8/28, 30, , , 3, 1, 
2022/8/29, 13, , , 8, , 
2022/8/30, 19, , , 8, , 1
2022/8/31, 26, , , 9, 1, 1
2022/9/1, 32, , , 13, 1, 1
2022/9/2, 51, , , 9, 2, 2
2022/9/3, 41, , , 15, 2, 3
2022/9/4, 98, , , 8, , 2
2022/9/5, 100, , , 5, , 1
2022/9/6, 51, , , 9, , 1
2022/9/7, 43, , , 13, , 2
2022/9/8, 50, , , 5, , 1
2022/9/9, 15, , , 4, , 1
2022/9/10, 20, , , 10, , 2
2022/9/11, 93, , , 12, 1, 3
2022/9/12, 95, , , 7, , 2
2022/9/13, 68, , , 11, , 2
2022/9/14, 79, , , 8, 1, 2
2022/9/15, 72, , , 14, , 3
2022/9/16, 68, , , 9, 1, 2
2022/9/17, 50, , , 6, , 2
2022/9/18, 21, , , 8, 1, 2
2022/9/19, 28, , , 6, , 2
2022/9/20, 19, , , 7, , 2
2022/9/21, 21, , , 10, , 2
